Entity,Code,Year,Renewables per capita (kWh)
Africa,,1965,0.12065300000000001
Africa,,1966,0.131249
Africa,,1967,0.1336
Africa,,1968,0.15235900000000002
Africa,,1969,0.173317
Africa,,1970,0.211176
Africa,,1971,0.19495500000000002
Africa,,1972,0.216209
Africa,,1973,0.222732
Africa,,1974,0.246655
Africa,,1975,0.253813
Africa,,1976,0.27366
Africa,,1977,0.292441
Africa,,1978,0.286792
Africa,,1979,0.29845499999999997
Africa,,1980,0.28291000000000005
Africa,,1981,0.28577400000000003
Africa,,1982,0.277992
Africa,,1983,0.243646
Africa,,1984,0.232932
Africa,,1985,0.251733
Africa,,1986,0.254996
Africa,,1987,0.237922
Africa,,1988,0.25234100000000004
Africa,,1989,0.257594
Africa,,1990,0.25586600000000004
Africa,,1991,0.263794
Africa,,1992,0.24543700000000002
Africa,,1993,0.23474799999999998
Africa,,1994,0.232083
Africa,,1995,0.235445
Africa,,1996,0.240183
Africa,,1997,0.24046199999999998
Africa,,1998,0.245892
Africa,,1999,0.254088
Africa,,2000,0.266146
Africa,,2001,0.277767
Africa,,2002,0.28378699999999996
Africa,,2003,0.269393
Africa,,2004,0.276847
Africa,,2005,0.272984
Africa,,2006,0.27586900000000003
Africa,,2007,0.27539800000000003
Africa,,2008,0.272715
Africa,,2009,0.27226799999999995
Africa,,2010,0.285558
Africa,,2011,0.285688
Africa,,2012,0.279566
Africa,,2013,0.288808
Africa,,2014,0.30129700000000004
Africa,,2015,0.299741
Africa,,2016,0.29129700000000003
Africa,,2017,0.307519
Africa,,2018,0.32072300000000004
Africa,,2019,0.33227
Africa,,2020,0.340741
Algeria,DZA,1965,0.088529
Algeria,DZA,1966,0.07642700000000001
Algeria,DZA,1967,0.08579200000000001
Algeria,DZA,1968,0.11445699999999999
Algeria,DZA,1969,0.071313
Algeria,DZA,1970,0.11137999999999999
Algeria,DZA,1971,0.061636
Algeria,DZA,1972,0.089952
Algeria,DZA,1973,0.132967
Algeria,DZA,1974,0.08548900000000001
Algeria,DZA,1975,0.054861
Algeria,DZA,1976,0.06324300000000001
Algeria,DZA,1977,0.042497
Algeria,DZA,1978,0.038362
Algeria,DZA,1979,0.043347000000000004
Algeria,DZA,1980,0.03714
Algeria,DZA,1981,0.051284
Algeria,DZA,1982,0.065055
Algeria,DZA,1983,0.030935
Algeria,DZA,1984,0.057691000000000006
Algeria,DZA,1985,0.079997
Algeria,DZA,1986,0.030059000000000002
Algeria,DZA,1987,0.058303
Algeria,DZA,1988,0.020796
Algeria,DZA,1989,0.025005
Algeria,DZA,1990,0.014558
Algeria,DZA,1991,0.030829000000000002
Algeria,DZA,1992,0.020452
Algeria,DZA,1993,0.035482
Algeria,DZA,1994,0.016343
Algeria,DZA,1995,0.018642
Algeria,DZA,1996,0.012813000000000001
Algeria,DZA,1997,0.007004
Algeria,DZA,1998,0.019780000000000002
Algeria,DZA,1999,0.018414000000000003
Algeria,DZA,2000,0.004832
Algeria,DZA,2001,0.006054
Algeria,DZA,2002,0.004906
Algeria,DZA,2003,0.022376
Algeria,DZA,2004,0.020784
Algeria,DZA,2005,0.045059
Algeria,DZA,2006,0.017289000000000002
Algeria,DZA,2007,0.017570000000000002
Algeria,DZA,2008,0.02151
Algeria,DZA,2009,0.025393000000000002
Algeria,DZA,2010,0.013196999999999999
Algeria,DZA,2011,0.028
Algeria,DZA,2012,0.028643000000000002
Algeria,DZA,2013,0.008565
Algeria,DZA,2014,0.016607
Algeria,DZA,2015,0.014136
Algeria,DZA,2016,0.02084
Algeria,DZA,2017,0.034973
Algeria,DZA,2018,0.042965
Algeria,DZA,2019,0.044689
Algeria,DZA,2020,0.037020000000000004
Argentina,ARG,1965,0.153558
Argentina,ARG,1966,0.153251
Argentina,ARG,1967,0.15465299999999998
Argentina,ARG,1968,0.179604
Argentina,ARG,1969,0.15874600000000003
Argentina,ARG,1970,0.18640700000000002
Argentina,ARG,1971,0.182501
Argentina,ARG,1972,0.176713
Argentina,ARG,1973,0.337354
Argentina,ARG,1974,0.553986
Argentina,ARG,1975,0.5644450000000001
Argentina,ARG,1976,0.53549
Argentina,ARG,1977,0.606355
Argentina,ARG,1978,0.80129
Argentina,ARG,1979,1.0864369999999999
Argentina,ARG,1980,1.516543
Argentina,ARG,1981,1.446768
Argentina,ARG,1982,1.706431
Argentina,ARG,1983,1.761509
Argentina,ARG,1984,1.866114
Argentina,ARG,1985,1.907483
Argentina,ARG,1986,1.910678
Argentina,ARG,1987,1.955141
Argentina,ARG,1988,1.329214
Argentina,ARG,1989,1.1305640000000001
Argentina,ARG,1990,1.531399
Argentina,ARG,1991,1.370508
Argentina,ARG,1992,1.64706
Argentina,ARG,1993,1.9349480000000001
Argentina,ARG,1994,2.268243
Argentina,ARG,1995,2.278945
Argentina,ARG,1996,2.073201
Argentina,ARG,1997,2.608947
Argentina,ARG,1998,2.53552
Argentina,ARG,1999,2.0730459999999997
Argentina,ARG,2000,2.617537
Argentina,ARG,2001,3.151123
Argentina,ARG,2002,3.0845920000000002
Argentina,ARG,2003,2.873448
Argentina,ARG,2004,2.558178
Argentina,ARG,2005,2.8007440000000003
Argentina,ARG,2006,3.079194
Argentina,ARG,2007,2.635777
Argentina,ARG,2008,2.564307
Argentina,ARG,2009,2.757337
Argentina,ARG,2010,2.8596950000000003
Argentina,ARG,2011,2.836907
Argentina,ARG,2012,2.7080670000000002
Argentina,ARG,2013,2.929067
Argentina,ARG,2014,2.9401840000000004
Argentina,ARG,2015,2.979799
Argentina,ARG,2016,2.725656
Argentina,ARG,2017,2.954552
Argentina,ARG,2018,2.8416900000000003
Argentina,ARG,2019,2.805886
Argentina,ARG,2020,2.493663
Australia,AUS,1965,1.96078
Australia,AUS,1966,1.827919
Australia,AUS,1967,1.8431440000000001
Australia,AUS,1968,1.872023
Australia,AUS,1969,1.989238
Australia,AUS,1970,2.265056
Australia,AUS,1971,2.508661
Australia,AUS,1972,2.481874
Australia,AUS,1973,2.6106909999999997
Australia,AUS,1974,2.920154
Australia,AUS,1975,3.101174
Australia,AUS,1976,2.917736
Australia,AUS,1977,2.754207
Australia,AUS,1978,2.939765
