,Entity,Year,Literacy_Rate,Military_Spendings,GDP_Per_Capita,Child_Mortality_Rate,GDP,HDI,Life_Expectancy,Obesity_Rate
0,Afghanistan,1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Afghanistan,1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Afghanistan,1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Afghanistan,1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Afghanistan,1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Afghanistan,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Afghanistan,1971,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Afghanistan,1972,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Afghanistan,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Afghanistan,1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Afghanistan,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Afghanistan,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Afghanistan,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Afghanistan,1978,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Afghanistan,1979,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Afghanistan,1980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Afghanistan,1981,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
17,Afghanistan,1982,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
18,Afghanistan,1983,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
19,Afghanistan,1984,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
20,Afghanistan,1985,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Afghanistan,1986,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
22,Afghanistan,1987,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,Afghanistan,1988,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,Afghanistan,1989,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
