,Entity,Continent,Year,GDP per capita ($),Child mortality rate (under 5 years - %),Population,HDI,Life expectancy (years),Tertiary education (%),Internet users (%),Tax revenue of total GDP (%),y
0,Algeria,Africa,2011,13204.0,2.67e-09,36661438.0,0.736,75.199,31.2025909423828,14.9,14.171034,0.0022103175571128297
1,Algeria,Africa,2012,13379.0,2.62e-09,37383899.0,0.74,75.436,32.231330871582,18.2,14.171034,0.0021094979920625195
2,Algeria,Africa,2013,13494.0,2.5799999999999998e-09,38140135.0,0.745,75.661,33.9657592773438,22.5,14.171034,0.0006083746445643058
3,Algeria,Africa,2014,13744.0,2.55e-09,38923688.0,0.747,75.878,34.5938110351563,29.5,14.171034,0.0011038884165366432
4,Algeria,Africa,2015,14004.0,2.52e-09,39728020.0,0.749,76.09,36.922279357910206,38.2,14.171034,0.0009094927339019593
5,Algeria,Africa,2016,14331.0,2.48e-09,40551398.0,0.753,76.298,36.922279357910206,42.94552688,14.171034,0.0013698079987979343
6,Algeria,Africa,2017,14267.23046875,2.4299999999999997e-09,41389174.0,0.754,76.499,36.922279357910206,47.69105515,14.107712,0.002320828434816793
7,Algeria,Africa,2018,14228.025390625,2.38e-09,42228415.0,0.754,76.693,36.922279357910206,49.03846808,14.107712,0.0027037201023870773
8,Algeria,Africa,2019,14228.025390625,2.33e-09,43053054.0,0.754,76.88,36.922279357910206,49.03846808,14.107712,0.002767773697695865
9,Argentina,South America,1985,10895.0,3.0599999999999998e-09,30216284.0,0.694,70.65,35.64609909057621,0.0,12.002,0.15425809893448644
10,Argentina,South America,1986,11515.0,2.96e-09,30698964.0,0.696,70.825,37.512168884277294,0.0,11.334333,0.14768353821293012
11,Argentina,South America,1987,11633.0,2.9099999999999997e-09,31184411.0,0.698,71.001,39.2706298828125,0.0,12.10232,0.14969496381262407
12,Argentina,South America,1988,11244.0,2.89e-09,31668939.0,0.7,71.186,39.00897216796875,0.0,10.637592,0.10839146279822374
13,Argentina,South America,1989,10393.0,2.89e-09,32148137.0,0.702,71.384,38.747314453125,0.0,12.156574,0.09716330252801346
14,Argentina,South America,1990,10254.0,2.86e-09,32618648.0,0.704,71.594,38.48565673828125,0.0,13.675556,0.13767700266632674
15,Argentina,South America,1991,11223.984375,2.81e-09,33079002.0,0.713,71.813,38.2239990234375,0.0,15.585648,0.12889980679797738
