,Entity,Year,Coal per capita (kWh),Fossil Fuels per capita (kWh),Energy per capita (kWh),Low-carbon energy per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh),Oil per capita (kWh),Renewables per capita (kWh),Wind per capita (kWh),Solar per capita (kWh),Hydro per capita (kWh)
0,Africa,1965,1010.461,2062.718,2183.369,120.653,29.811,0.0,1022.446,0.120653,0.0,0.0,120.653
1,Africa,1966,984.359,2107.879,2239.127,131.249,32.505,0.0,1091.015,0.131249,0.0,0.0,131.249
2,Africa,1967,981.168,2067.899,2201.498,133.6,31.327,0.0,1055.404,0.1336,0.0,0.0,133.6
3,Africa,1968,994.882,2111.486,2263.843,152.359,30.957,0.0,1085.647,0.152359,0.0,0.0,152.359
4,Africa,1969,978.624,2086.611,2259.926,173.317,35.267,0.0,1072.72,0.173317,0.0,0.0,173.317
5,Africa,1970,992.598,2190.378,2401.552,211.176,42.703,0.0,1155.078,0.211176,0.0,0.0,211.176
6,Africa,1971,1026.889,2348.298,2543.251,194.955,49.346,0.0,1272.063,0.194955,0.0,0.0,193.734
7,Africa,1972,1003.587,2411.298,2627.504,216.209,64.442,0.0,1343.269,0.216209,0.0,0.0,215.011
8,Africa,1973,1040.368,2548.239,2770.969,222.732,100.629,0.0,1407.242,0.222732,0.0,0.0,221.531
9,Africa,1974,1054.505,2582.5,2829.153,246.655,110.291,0.0,1417.704,0.246655,0.0,0.0,245.451
10,Africa,1975,1087.795,2661.149,2914.96,253.813,129.351,0.0,1444.003,0.253813,0.0,0.0,252.661
11,Africa,1976,1128.9,2830.802,3104.46,273.66,143.1,0.0,1558.802,0.27366,0.0,0.0,272.454
12,Africa,1977,1122.46,2883.901,3176.339,292.441,155.766,0.0,1605.675,0.292441,0.0,0.0,291.242
13,Africa,1978,1060.861,2921.404,3208.193,286.792,216.184,0.0,1644.359,0.286792,0.0,0.0,285.589
14,Africa,1979,1095.133,3121.735,3420.188,298.455,321.348,0.0,1705.255,0.2984549999999999,0.0,0.0,297.25
15,Africa,1980,1141.002,3286.709,3569.616,282.91,392.358,0.0,1753.349,0.28291,0.0,0.0,281.703
16,Africa,1981,1297.539,3575.83,3861.601,285.774,466.305,0.0,1811.985,0.285774,0.0,0.0,284.538
17,Africa,1982,1391.129,3730.224,4008.212,277.992,489.518,0.0,1849.577,0.277992,0.0,0.0,276.691
18,Africa,1983,1375.65,3756.581,4000.224,243.646,523.213,0.0,1857.718,0.243646,0.0,0.0,242.414
19,Africa,1984,1430.403,3764.567,4017.939,253.375,487.307,20.442,1846.857,0.232932,0.0,0.0,231.714
20,Africa,1985,1434.796,3779.658,4058.299,278.644,508.257,26.911,1836.605,0.251733,0.0,0.0,250.371
21,Africa,1986,1427.109,3740.829,4039.152,298.327,555.124,43.331,1758.596,0.254996,0.0,0.0,251.752
22,Africa,1987,1427.095,3788.464,4055.897,267.436,557.152,29.514,1804.217,0.237922,0.0,0.0,234.773
23,Africa,1988,1491.435,3919.039,4220.212,301.177,600.562,48.835,1827.042,0.252341,0.0,0.0,249.428
24,Africa,1989,1362.029,3809.419,4117.262,307.846,605.483,50.253,1841.907,0.257594,0.0,0.0,254.8
25,Africa,1990,1392.577,3841.647,4134.742,293.099,632.42,37.232,1816.65,0.255866,0.0,0.0,252.306
26,Africa,1991,1317.994,3712.853,4015.881,303.031,620.437,39.237,1774.423,0.263794,0.0,0.0,260.258
27,Africa,1992,1291.627,3688.888,3973.148,284.263,633.955,38.826,1763.307,0.245437,0.0,0.0,241.866
28,Africa,1993,1278.274,3616.19,3880.49,264.303,605.166,29.555,1732.75,0.2347479999999999,0.008,0.0,230.912
29,Africa,1994,1278.398,3642.229,3912.82,270.593,617.387,38.511,1746.445,0.232083,0.021,0.0,228.737
30,Africa,1995,1285.155,3691.802,3971.009,279.21,643.055,43.766,1763.592,0.235445,0.024,0.0,231.468
31,Africa,1996,1270.876,3692.375,3977.034,284.663,658.441,44.479,1763.058,0.240183,0.027,0.0,235.396
32,Africa,1997,1271.427,3667.664,3954.731,287.071,629.497,46.609,1766.739,0.2404619999999999,0.027,0.0,235.318
33,Africa,1998,1212.148,3624.134,3918.934,294.803,646.444,48.911,1765.542,0.245892,0.027,0.0,239.699
34,Africa,1999,1219.806,3643.264,3942.4,299.139,636.788,45.051,1786.671,0.254088,0.069,0.0,248.066
35,Africa,2000,1187.785,3627.215,3937.919,310.707,686.601,44.562,1752.829,0.266146,0.601,0.041,257.732
