Entity,Code,Year,Fossil Fuels per capita (kWh)
Africa,,1965,2062.718
Africa,,1966,2107.879
Africa,,1967,2067.899
Africa,,1968,2111.486
Africa,,1969,2086.611
Africa,,1970,2190.378
Africa,,1971,2348.298
Africa,,1972,2411.298
Africa,,1973,2548.239
Africa,,1974,2582.5
Africa,,1975,2661.149
Africa,,1976,2830.802
Africa,,1977,2883.901
Africa,,1978,2921.404
Africa,,1979,3121.735
Africa,,1980,3286.709
Africa,,1981,3575.83
Africa,,1982,3730.224
Africa,,1983,3756.581
Africa,,1984,3764.567
Africa,,1985,3779.658
Africa,,1986,3740.829
Africa,,1987,3788.464
Africa,,1988,3919.039
Africa,,1989,3809.419
Africa,,1990,3841.647
Africa,,1991,3712.853
Africa,,1992,3688.888
Africa,,1993,3616.19
Africa,,1994,3642.229
Africa,,1995,3691.802
Africa,,1996,3692.375
Africa,,1997,3667.664
Africa,,1998,3624.134
Africa,,1999,3643.264
Africa,,2000,3627.215
Africa,,2001,3664.939
Africa,,2002,3608.517
Africa,,2003,3709.906
Africa,,2004,3869.456
Africa,,2005,3816.19
Africa,,2006,3785.284
Africa,,2007,3829.722
Africa,,2008,3970.08
Africa,,2009,3940.453
Africa,,2010,3954.885
Africa,,2011,3862.183
Africa,,2012,3912.82
Africa,,2013,3909.539
Africa,,2014,3946.621
Africa,,2015,3923.682
Africa,,2016,3934.512
Africa,,2017,3911.831
Africa,,2018,3902.511
Africa,,2019,3862.014
Africa,,2020,3481.353
Algeria,DZA,1965,1884.32
Algeria,DZA,1966,2230.772
Algeria,DZA,1967,2036.536
Algeria,DZA,1968,2099.027
Algeria,DZA,1969,2309.229
Algeria,DZA,1970,2422.668
Algeria,DZA,1971,2605.999
Algeria,DZA,1972,2825.082
Algeria,DZA,1973,3248.098
Algeria,DZA,1974,3556.833
Algeria,DZA,1975,4178.774
Algeria,DZA,1976,4737.965
Algeria,DZA,1977,5085.467
Algeria,DZA,1978,6221.448
Algeria,DZA,1979,7919.425
Algeria,DZA,1980,9176.271
Algeria,DZA,1981,10800.086
Algeria,DZA,1982,12061.659
Algeria,DZA,1983,12807.96
Algeria,DZA,1984,11894.177
Algeria,DZA,1985,11608.073
Algeria,DZA,1986,11979.348
Algeria,DZA,1987,11932.757
Algeria,DZA,1988,12472.898
Algeria,DZA,1989,11805.862
Algeria,DZA,1990,12212.289
Algeria,DZA,1991,11788.766
Algeria,DZA,1992,11826.062
Algeria,DZA,1993,10745.281
Algeria,DZA,1994,10683.804
Algeria,DZA,1995,10869.208
Algeria,DZA,1996,10576.143
Algeria,DZA,1997,10007.007
Algeria,DZA,1998,10191.635
Algeria,DZA,1999,10150.215
Algeria,DZA,2000,9657.364
Algeria,DZA,2001,9875.852
Algeria,DZA,2002,10101.501
Algeria,DZA,2003,10418.801
Algeria,DZA,2004,10677.021
Algeria,DZA,2005,11001.052
Algeria,DZA,2006,11254.157
Algeria,DZA,2007,11677.973
Algeria,DZA,2008,12172.608
Algeria,DZA,2009,12676.348
Algeria,DZA,2010,12187.908
Algeria,DZA,2011,12639.873
Algeria,DZA,2012,13549.479
Algeria,DZA,2013,14069.941
Algeria,DZA,2014,15027.498
Algeria,DZA,2015,15528.606
Algeria,DZA,2016,15192.983
Algeria,DZA,2017,15034.227
Algeria,DZA,2018,15848.116
Algeria,DZA,2019,16101.513
Algeria,DZA,2020,14523.566
Argentina,ARG,1965,14663.123
Argentina,ARG,1966,14915.759
Argentina,ARG,1967,15124.156
Argentina,ARG,1968,15382.68
Argentina,ARG,1969,15686.395
Argentina,ARG,1970,14600.711
Argentina,ARG,1971,15250.412
Argentina,ARG,1972,15200.837
Argentina,ARG,1973,15462.806
Argentina,ARG,1974,15487.517
Argentina,ARG,1975,14703.045
Argentina,ARG,1976,15242.996
Argentina,ARG,1977,15735.497
Argentina,ARG,1978,15178.977
Argentina,ARG,1979,15843.673
Argentina,ARG,1980,15064.674
Argentina,ARG,1981,14337.835
Argentina,ARG,1982,14197.826
Argentina,ARG,1983,14407.246
Argentina,ARG,1984,13961.581
Argentina,ARG,1985,13364.232
Argentina,ARG,1986,14009.305
Argentina,ARG,1987,14376.827
Argentina,ARG,1988,15117.209
Argentina,ARG,1989,14550.856
Argentina,ARG,1990,13475.311
Argentina,ARG,1991,13663.337
Argentina,ARG,1992,14378.998
Argentina,ARG,1993,14284.222
Argentina,ARG,1994,14661.038
Argentina,ARG,1995,15200.989
Argentina,ARG,1996,16136.361
Argentina,ARG,1997,15676.002
Argentina,ARG,1998,16310.691
Argentina,ARG,1999,16769.765
Argentina,ARG,2000,16147.691
Argentina,ARG,2001,14856.955
Argentina,ARG,2002,14112.342
Argentina,ARG,2003,15209.748
Argentina,ARG,2004,16426.752
Argentina,ARG,2005,17242.476
Argentina,ARG,2006,17759.82
Argentina,ARG,2007,19030.912
Argentina,ARG,2008,19123.067
Argentina,ARG,2009,18057.918
Argentina,ARG,2010,18645.087
Argentina,ARG,2011,19191.999
Argentina,ARG,2012,19915.33
Argentina,ARG,2013,20357.372
Argentina,ARG,2014,20108.066
Argentina,ARG,2015,20188.99
Argentina,ARG,2016,19986.542
Argentina,ARG,2017,19719.613
Argentina,ARG,2018,19250.244
Argentina,ARG,2019,17698.047
Argentina,ARG,2020,16275.941
Australia,AUS,1965,35540.557
Australia,AUS,1966,36527.335
Australia,AUS,1967,37789.15
Australia,AUS,1968,39071.378
Australia,AUS,1969,39608.238
Australia,AUS,1970,42147.503
Australia,AUS,1971,43269.816
Australia,AUS,1972,44626.349
Australia,AUS,1973,47048.708
Australia,AUS,1974,49208.298
Australia,AUS,1975,49248.705
Australia,AUS,1976,50638.993
Australia,AUS,1977,52832.923
Australia,AUS,1978,53794.099
Australia,AUS,1979,55355.039
Australia,AUS,1980,55057.307
Australia,AUS,1981,55186.368
Australia,AUS,1982,54109.101
Australia,AUS,1983,51578.338
Australia,AUS,1984,52661.053
Australia,AUS,1985,53301.231
Australia,AUS,1986,53523.407
Australia,AUS,1987,54342.067
Australia,AUS,1988,55842.251
Australia,AUS,1989,57876.728
Australia,AUS,1990,58191.755
Australia,AUS,1991,56820.828
Australia,AUS,1992,57054.67
Australia,AUS,1993,57571.037
Australia,AUS,1994,59298.195
Australia,AUS,1995,61432.541
Australia,AUS,1996,62553.419
Australia,AUS,1997,63458.372
Australia,AUS,1998,64346.368
Australia,AUS,1999,66279.136
Australia,AUS,2000,65983.273
Australia,AUS,2001,65871.986
Australia,AUS,2002,66434.423
Australia,AUS,2003,66558.158
Australia,AUS,2004,67791.064
Australia,AUS,2005,66811.694
Australia,AUS,2006,68596.136
Australia,AUS,2007,68899.475
Australia,AUS,2008,68676.104
Australia,AUS,2009,66026.496
Australia,AUS,2010,64107.837
Australia,AUS,2011,63957.934
Australia,AUS,2012,62176.486
Australia,AUS,2013,61476.878
Australia,AUS,2014,61537.048
Australia,AUS,2015,61943.448
Australia,AUS,2016,60794.114
Australia,AUS,2017,59965.996
Australia,AUS,2018,58549.523
Australia,AUS,2019,59274.607
Australia,AUS,2020,54367.279
Austria,AUT,1965,19430.273
Austria,AUT,1966,20004.465
Austria,AUT,1967,20011.823
Austria,AUT,1968,21569.609
Austria,AUT,1969,23062.421
Austria,AUT,1970,25437.721
Austria,AUT,1971,26932.227
Austria,AUT,1972,27793.609
Austria,AUT,1973,29539.494
Austria,AUT,1974,28297.193
Austria,AUT,1975,27587.099
Austria,AUT,1976,30112.42
Austria,AUT,1977,28534.701
Austria,AUT,1978,30210.741
Austria,AUT,1979,31391.324
Austria,AUT,1980,30854.671
Austria,AUT,1981,28970.322
Austria,AUT,1982,27618.639
Austria,AUT,1983,27619.372
Austria,AUT,1984,28666.548
Austria,AUT,1985,29126.248
Austria,AUT,1986,28974.531
Austria,AUT,1987,29647.25
Austria,AUT,1988,28907.329
Austria,AUT,1989,29104.065
Austria,AUT,1990,30848.881
Austria,AUT,1991,32748.128
Austria,AUT,1992,30467.787
Austria,AUT,1993,30300.57
Austria,AUT,1994,30254.892
Austria,AUT,1995,31458.607
Austria,AUT,1996,32565.768
Austria,AUT,1997,32718.726
Austria,AUT,1998,32982.52
Austria,AUT,1999,32809
Austria,AUT,2000,32522.585
Austria,AUT,2001,34632.917
Austria,AUT,2002,34776.381
Austria,AUT,2003,37563.543
Austria,AUT,2004,36802.269
Austria,AUT,2005,37115.87
Austria,AUT,2006,36261.6
Austria,AUT,2007,34187.625
Austria,AUT,2008,34551.528
Austria,AUT,2009,31908.6
Austria,AUT,2010,34162.749
