Entity,Code,Year,Low-carbon energy per capita (kWh)
Africa,,1965,120.653
Africa,,1966,131.249
Africa,,1967,133.6
Africa,,1968,152.359
Africa,,1969,173.317
Africa,,1970,211.176
Africa,,1971,194.955
Africa,,1972,216.209
Africa,,1973,222.732
Africa,,1974,246.655
Africa,,1975,253.813
Africa,,1976,273.66
Africa,,1977,292.441
Africa,,1978,286.792
Africa,,1979,298.455
Africa,,1980,282.91
Africa,,1981,285.774
Africa,,1982,277.992
Africa,,1983,243.646
Africa,,1984,253.375
Africa,,1985,278.644
Africa,,1986,298.327
Africa,,1987,267.436
Africa,,1988,301.177
Africa,,1989,307.846
Africa,,1990,293.099
Africa,,1991,303.031
Africa,,1992,284.263
Africa,,1993,264.303
Africa,,1994,270.593
Africa,,1995,279.21
Africa,,1996,284.663
Africa,,1997,287.071
Africa,,1998,294.803
Africa,,1999,299.139
Africa,,2000,310.707
Africa,,2001,313.369
Africa,,2002,322.409
Africa,,2003,308.945
Africa,,2004,317.323
Africa,,2005,306.14
Africa,,2006,304.402
Africa,,2007,306.613
Africa,,2008,307.473
Africa,,2009,305.432
Africa,,2010,319.494
Africa,,2011,317.041
Africa,,2012,310.088
Africa,,2013,320.966
Africa,,2014,331.758
Africa,,2015,325.921
Africa,,2016,322.448
Africa,,2017,336.037
Africa,,2018,343.28
Africa,,2019,358.008
Africa,,2020,369.375
Algeria,DZA,1965,88.529
Algeria,DZA,1966,76.427
Algeria,DZA,1967,85.792
Algeria,DZA,1968,114.457
Algeria,DZA,1969,71.313
Algeria,DZA,1970,111.38
Algeria,DZA,1971,61.636
Algeria,DZA,1972,89.952
Algeria,DZA,1973,132.967
Algeria,DZA,1974,85.489
Algeria,DZA,1975,54.861
Algeria,DZA,1976,63.243
Algeria,DZA,1977,42.497
Algeria,DZA,1978,38.362
Algeria,DZA,1979,43.347
Algeria,DZA,1980,37.14
Algeria,DZA,1981,51.284
Algeria,DZA,1982,65.055
Algeria,DZA,1983,30.935
Algeria,DZA,1984,57.691
Algeria,DZA,1985,79.997
Algeria,DZA,1986,30.059
Algeria,DZA,1987,58.303
Algeria,DZA,1988,20.796
Algeria,DZA,1989,25.005
Algeria,DZA,1990,14.558
Algeria,DZA,1991,30.829
Algeria,DZA,1992,20.452
Algeria,DZA,1993,35.482
Algeria,DZA,1994,16.343
Algeria,DZA,1995,18.642
Algeria,DZA,1996,12.813
Algeria,DZA,1997,7.004
Algeria,DZA,1998,19.78
Algeria,DZA,1999,18.414
Algeria,DZA,2000,4.832
Algeria,DZA,2001,6.054
Algeria,DZA,2002,4.906
Algeria,DZA,2003,22.376
Algeria,DZA,2004,20.784
Algeria,DZA,2005,45.059
Algeria,DZA,2006,17.289
Algeria,DZA,2007,17.57
Algeria,DZA,2008,21.51
Algeria,DZA,2009,25.393
Algeria,DZA,2010,13.197
Algeria,DZA,2011,28
Algeria,DZA,2012,28.643
Algeria,DZA,2013,8.565
Algeria,DZA,2014,16.607
Algeria,DZA,2015,14.136
Algeria,DZA,2016,20.84
Algeria,DZA,2017,34.973
Algeria,DZA,2018,42.965
Algeria,DZA,2019,44.689
Algeria,DZA,2020,37.02
Argentina,ARG,1965,153.558
Argentina,ARG,1966,153.251
Argentina,ARG,1967,154.653
Argentina,ARG,1968,179.604
Argentina,ARG,1969,158.746
Argentina,ARG,1970,186.407
Argentina,ARG,1971,182.501
Argentina,ARG,1972,176.713
Argentina,ARG,1973,337.354
Argentina,ARG,1974,667.007
Argentina,ARG,1975,834.75
Argentina,ARG,1976,807.507
Argentina,ARG,1977,776.91
Argentina,ARG,1978,1098.56
Argentina,ARG,1979,1358.643
Argentina,ARG,1980,1749.547
Argentina,ARG,1981,1722.796
Argentina,ARG,1982,1886.828
Argentina,ARG,1983,2084.738
Argentina,ARG,1984,2299.635
Argentina,ARG,1985,2437.551
Argentina,ARG,1986,2427.434
Argentina,ARG,1987,2531.017
Argentina,ARG,1988,1837.774
Argentina,ARG,1989,1565.962
Argentina,ARG,1990,2151.443
Argentina,ARG,1991,2021.811
Argentina,ARG,1992,2233.695
Argentina,ARG,1993,2568.675
Argentina,ARG,1994,2933.163
Argentina,ARG,1995,2842.506
Argentina,ARG,1996,2661.048
Argentina,ARG,1997,3229.124
Argentina,ARG,1998,3109.586
Argentina,ARG,1999,2614.324
Argentina,ARG,2000,3082.901
Argentina,ARG,2001,3673.744
Argentina,ARG,2002,3508.161
Argentina,ARG,2003,3414.632
Argentina,ARG,2004,3111.578
Argentina,ARG,2005,3276.087
Argentina,ARG,2006,3604.467
Argentina,ARG,2007,3121.321
Argentina,ARG,2008,3051.29
Argentina,ARG,2009,3287.63
Argentina,ARG,2010,3319.379
Argentina,ARG,2011,3238.291
Argentina,ARG,2012,3102.988
Argentina,ARG,2013,3305.676
Argentina,ARG,2014,3269.299
Argentina,ARG,2015,3393.191
Argentina,ARG,2016,3204.53
Argentina,ARG,2017,3300.957
Argentina,ARG,2018,3226.701
Argentina,ARG,2019,3272.755
Argentina,ARG,2020,3075.698
Australia,AUS,1965,1960.78
Australia,AUS,1966,1827.919
Australia,AUS,1967,1843.144
Australia,AUS,1968,1872.023
Australia,AUS,1969,1989.238
Australia,AUS,1970,2265.056
Australia,AUS,1971,2508.661
Australia,AUS,1972,2481.874
Australia,AUS,1973,2610.691
Australia,AUS,1974,2920.154
Australia,AUS,1975,3101.174
Australia,AUS,1976,2917.736
Australia,AUS,1977,2754.207
Australia,AUS,1978,2939.765
Australia,AUS,1979,2826.165
Australia,AUS,1980,2637.485
Australia,AUS,1981,2682.495
Australia,AUS,1982,2463.85
Australia,AUS,1983,2295.154
Australia,AUS,1984,2443.469
Australia,AUS,1985,2553.063
Australia,AUS,1986,2527.92
Australia,AUS,1987,2417.432
Australia,AUS,1988,2543.632
Australia,AUS,1989,2503.505
Australia,AUS,1990,2541.677
Australia,AUS,1991,2646.757
Australia,AUS,1992,2653.501
Australia,AUS,1993,2694.208
Australia,AUS,1994,2632.773
Australia,AUS,1995,2544.908
Australia,AUS,1996,2588.157
Australia,AUS,1997,2566.347
Australia,AUS,1998,2530.53
Australia,AUS,1999,2587.118
Australia,AUS,2000,2597.764
Australia,AUS,2001,2521.193
Australia,AUS,2002,2576.613
Australia,AUS,2003,2627.995
Australia,AUS,2004,2664.354
Australia,AUS,2005,2791.326
Australia,AUS,2006,2797.048
Australia,AUS,2007,2639.363
Australia,AUS,2008,2444.09
Australia,AUS,2009,2503.441
Australia,AUS,2010,2706.902
Australia,AUS,2011,3639.143
Australia,AUS,2012,3516.576
Australia,AUS,2013,4045.673
Australia,AUS,2014,3685.366
Australia,AUS,2015,3893.293
Australia,AUS,2016,4420.073
Australia,AUS,2017,4067.738
Australia,AUS,2018,5010.732
Australia,AUS,2019,5500.129
Australia,AUS,2020,6293.062
Austria,AUT,1965,6115.55
Austria,AUT,1966,6547.897
Austria,AUT,1967,6645.942
Austria,AUT,1968,6789.889
Austria,AUT,1969,6208.96
Austria,AUT,1970,7868.046
Austria,AUT,1971,6188.138
Austria,AUT,1972,6334.308
Austria,AUT,1973,7014.39
Austria,AUT,1974,8272.633
Austria,AUT,1975,8654.17
Austria,AUT,1976,7476.58
Austria,AUT,1977,9064.865
Austria,AUT,1978,9082.619
Austria,AUT,1979,10245.199
Austria,AUT,1980,10625.96
Austria,AUT,1981,11267.917
Austria,AUT,1982,11289.283
Austria,AUT,1983,11181.961
Austria,AUT,1984,9804.033
Austria,AUT,1985,11226.264
Austria,AUT,1986,11726.698
Austria,AUT,1987,13196.96
Austria,AUT,1988,13184.112
Austria,AUT,1989,13077.259
Austria,AUT,1990,11752.066
Austria,AUT,1991,11685.753
Austria,AUT,1992,12844.44
Austria,AUT,1993,13411.894
Austria,AUT,1994,12913.521
Austria,AUT,1995,13549.286
Austria,AUT,1996,12422.943
Austria,AUT,1997,13103.644
Austria,AUT,1998,13510.277
Austria,AUT,1999,14633.975
Austria,AUT,2000,14976.294
Austria,AUT,2001,14444.126
Austria,AUT,2002,14172.534
Austria,AUT,2003,11795.134
Austria,AUT,2004,13130.409
Austria,AUT,2005,13438.894
Austria,AUT,2006,13530.243
Austria,AUT,2007,14271.019
Austria,AUT,2008,14713.624
Austria,AUT,2009,15511.05
Austria,AUT,2010,14652.266
Austria,AUT,2011,13234.701
