,month,site_id,count,month_name
0,1,1001,47466,January
1,2,1001,44208,February
2,3,1001,48312,March
3,4,1001,44328,April
4,5,1001,39090,May
5,6,1001,29946,June
6,7,1001,23136,July
7,8,1001,22176,August
8,9,1001,20472,September
9,10,1001,21930,October
10,11,1001,34043,November
11,12,1001,48366,December
12,1,1002,38816,January
13,2,1002,40634,February
14,3,1002,48192,March
15,4,1002,27986,April
16,5,1002,13752,May
17,6,1002,16568,June
18,7,1002,21992,July
19,8,1002,22116,August
20,9,1002,20766,September
21,10,1002,21822,October
22,11,1002,34013,November
23,12,1002,48435,December
24,1,1003,30312,January
25,2,1003,24726,February
26,3,1003,26352,March
27,4,1003,25764,April
28,5,1003,26628,May
29,6,1003,25476,June
30,7,1003,26550,July
31,8,1003,26622,August
32,9,1003,25098,September
33,10,1003,26442,October
34,11,1003,37817,November
35,12,1003,35265,December
36,1,1004,30342,January
37,2,1004,24618,February
38,3,1004,26364,March
39,4,1004,19944,April
40,5,1004,17874,May
41,6,1004,15822,June
42,7,1004,26622,July
43,8,1004,25206,August
44,9,1004,8420,September
45,10,1004,8802,October
46,11,1004,21652,November
47,12,1004,35270,December
48,1,1005,51774,January
49,2,1005,48366,February
50,3,1005,52590,March
51,4,1005,50424,April
52,5,1005,52432,May
53,6,1005,35388,June
54,7,1005,26490,July
55,8,1005,26574,August
56,9,1005,25278,September
57,10,1005,26514,October
58,11,1005,38297,November
59,12,1005,52967,December
60,1,1006,0,January
61,2,1006,0,February
62,3,1006,0,March
63,4,1006,0,April
64,5,1006,10224,May
65,6,1006,21168,June
66,7,1006,0,July
67,8,1006,0,August
68,9,1006,0,September
69,10,1006,0,October
70,11,1006,0,November
71,12,1006,0,December
72,1,1007,26628,January
73,2,1007,23628,February
74,3,1007,26568,March
75,4,1007,4044,April
76,5,1007,10224,May
77,6,1007,23700,June
78,7,1007,26052,July
79,8,1007,26508,August
80,9,1007,25812,September
81,10,1007,26652,October
82,11,1007,25716,November
83,12,1007,26652,December
84,1,1008,0,January
85,2,1008,0,February
86,3,1008,0,March
87,4,1008,0,April
88,5,1008,0,May
89,6,1008,3330,June
90,7,1008,0,July
91,8,1008,10220,August
92,9,1008,16610,September
93,10,1008,0,October
94,11,1008,0,November
95,12,1008,0,December
96,1,1009,26472,January
97,2,1009,23532,February
98,3,1009,26478,March
99,4,1009,4019,April
100,5,1009,0,May
101,6,1009,13374,June
102,7,1009,26112,July
103,8,1009,26280,August
104,9,1009,25344,September
105,10,1009,26520,October
106,11,1009,25662,November
107,12,1009,26436,December
108,1,1010,26604,January
109,2,1010,23616,February
110,3,1010,26532,March
111,4,1010,4079,April
112,5,1010,0,May
113,6,1010,1704,June
114,7,1010,26184,July
115,8,1010,26592,August
116,9,1010,25764,September
117,10,1010,26616,October
118,11,1010,25836,November
119,12,1010,26640,December
120,1,1011,26596,January
121,2,1011,23592,February
122,3,1011,26568,March
123,4,1011,4044,April
124,5,1011,0,May
125,6,1011,0,June
126,7,1011,0,July
127,8,1011,5382,August
128,9,1011,25704,September
129,10,1011,26616,October
130,11,1011,25764,November
131,12,1011,26604,December
132,1,1012,26262,January
133,2,1012,23666,February
134,3,1012,24684,March
135,4,1012,3978,April
136,5,1012,0,May
137,6,1012,0,June
138,7,1012,0,July
139,8,1012,0,August
140,9,1012,8732,September
141,10,1012,26170,October
142,11,1012,25114,November
143,12,1012,26398,December
144,1,1013,25117,January
145,2,1013,23660,February
146,3,1013,25831,March
147,4,1013,4046,April
148,5,1013,0,May
149,6,1013,0,June
150,7,1013,0,July
151,8,1013,0,August
152,9,1013,8592,September
153,10,1013,26030,October
154,11,1013,25562,November
155,12,1013,26444,December
156,1,1014,26616,January
157,2,1014,23652,February
158,3,1014,26388,March
159,4,1014,4044,April
160,5,1014,0,May
161,6,1014,0,June
162,7,1014,0,July
163,8,1014,0,August
164,9,1014,8726,September
165,10,1014,26510,October
166,11,1014,25728,November
167,12,1014,26604,December
168,1,1015,8898,January
169,2,1015,22002,February
170,3,1015,26580,March
171,4,1015,4068,April
172,5,1015,0,May
173,6,1015,0,June
174,7,1015,0,July
175,8,1015,0,August
176,9,1015,8782,September
177,10,1015,26604,October
178,11,1015,25716,November
179,12,1015,14731,December
180,1,1016,22770,January
181,2,1016,11974,February
182,3,1016,16536,March
183,4,1016,2936,April
184,5,1016,0,May
185,6,1016,0,June
186,7,1016,0,July
187,8,1016,0,August
188,9,1016,8236,September
189,10,1016,23782,October
190,11,1016,23314,November
191,12,1016,25302,December
